code,tin,name_ru
AN-401004,206847415,Буюк ипак йули
AN-401005,202720269,Дустлик
AN-401006,202311040,Навбахор
AN-401007,202727069,Икбол
AN-401008,202691314,Коратут
AN-401009,202910514,Мустакиллик
AN-401010,205293213,Пистамозор
AN-401011,202638052,Саноат
AN-401012,202831423,Соглом Авлод
AN-401013,202345308,Узбегим
AN-401014,202721820,Узбекистон
AN-401016,305186445,Урикзор
AN-401017,202589201,Янги хаят
AN-401018,202822995,Яйилма
AN-401019,202671931,Машал
AN-401020,202270061,Тараккиёт
AN-401023,202721773,Андижон
AN-401024,202737389,Бирлашган
AN-401025,202716779,Бобосадин
AN-401026,202742408,Бустон
AN-401027,206579979,Шорбулок
AN-401028,202742289,Гулистон
AN-401029,202834711,Исломобод
AN-401030,202727829,Ишчилар
AN-401031,202671955,Кенгаш
AN-401032,202766155,Маориф
AN-401034,202716224,Хамкорлик
AN-401035,202775643,Тахтакоприк
AN-401036,202672993,Туккизарик
AN-401037,204947134,Садокат
AN-401038,202766187,Янги турмуш
AN-401039,202737396,Истиклол
AN-401040,202752316,Бунёдкор
AN-401041,302928392,Кушарик
AN-401042,202681437,Гайрат
AN-401043,202673003,Гумбаз
AN-401044,202589185,Ербоши
AN-401045,200241960,Жумабозор
AN-401046,204854124,Кайрагочтаги
AN-401047,202291297,Каландархона
AN-401048,202729643,Майдонбозор
AN-401049,203665050,Марифат
AN-401050,202694444,Хунарманд
AN-401051,202681405,Обод
AN-401052,202589178,Сой
AN-401053,202742415,Саховат
AN-401054,202671844,Узгариш
AN-401055,205684730,Соглом турмуш
AN-401056,204904923,Шифокор
AN-401057,202589479,Яхши
AN-401058,204836636,Буюк Турон
AN-401059,305177005,Бекгузар
AN-401060,202727076,Шолдирама
AN-401061,202679398,Бирлик
AN-401062,202847394,Бобур
AN-401063,202973319,Далварзин
AN-401065,202589161,Хамдустлик
AN-401066,202673010,Маданият
AN-401067,202638582,Мeхнат
AN-401068,201170574,Навроз
